symbol,year,month,day,price
ETH,2018,8,27,285.60
ETH,2018,8,28,296.50
ETH,2018,8,29,289.31
ETH,2018,8,30,284.11
ETH,2018,8,31,283.00
ETH,2018,9,1,295.34
ETH,2018,9,2,294.37
ETH,2018,9,3,289.26
ETH,2018,9,4,285.72
ETH,2018,9,5,232.33
ETH,2018,9,6,230.22
ETH,2018,9,7,217.20
ETH,2018,9,8,197.95
ETH,2018,9,9,196.92
ETH,2018,9,10,197.08
ETH,2018,9,11,185.07
ETH,2018,9,12,183.33
ETH,2018,9,13,211.35
ETH,2018,9,14,211.75
ETH,2018,9,15,223.07
ETH,2018,9,16,220.59
ETH,2018,9,17,197.88
ETH,2018,9,18,209.98
ETH,2018,9,19,209.97
ETH,2018,9,20,224.59
ETH,2018,9,21,246.58
ETH,2018,9,22,240.48
ETH,2018,9,23,244.33
ETH,2018,9,24,228.73
ETH,2018,9,25,218.51
ETH,2018,9,26,215.85
ETH,2018,9,27,228.49
ETH,2018,9,28,222.40
ETH,2018,9,29,231.64
ETH,2018,9,30,232.85
ETH,2018,10,1,230.77
ETH,2018,10,2,227.18
ETH,2018,10,3,220.49
ETH,2018,10,4,222.22
ETH,2018,10,5,227.60
ETH,2018,10,6,225.12
ETH,2018,10,7,226.12
ETH,2018,10,8,229.26
ETH,2018,10,9,227.98
ETH,2018,10,10,225.77
ETH,2018,10,11,189.50
ETH,2018,10,12,196.73
ETH,2018,10,13,199.84
ETH,2018,10,14,195.72
ETH,2018,10,15,209.70
ETH,2018,10,16,210.12
ETH,2018,10,17,207.08
ETH,2018,10,18,203.35
ETH,2018,10,19,203.73
ETH,2018,10,20,205.43
ETH,2018,10,21,205.14
ETH,2018,10,22,204.04
ETH,2018,10,23,204.34
ETH,2018,10,24,203.85
ETH,2018,10,25,202.72
ETH,2018,10,26,203.33
ETH,2018,10,27,204.21
ETH,2018,10,28,205.37
ETH,2018,10,29,197.25
ETH,2018,10,30,197.56
ETH,2018,10,31,197.38
ETH,2018,11,1,198.87
ETH,2018,11,2,200.64
ETH,2018,11,3,200.19
ETH,2018,11,4,207.49
ETH,2018,11,5,209.09
ETH,2018,11,6,218.45
ETH,2018,11,7,217.18
ETH,2018,11,8,212.23
ETH,2018,11,9,210.07
ETH,2018,11,10,212.53
ETH,2018,11,11,211.34
ETH,2018,11,12,210.42
ETH,2018,11,13,206.83
ETH,2018,11,14,181.40
ETH,2018,11,15,180.81
ETH,2018,11,16,175.18
ETH,2018,11,17,174.00
ETH,2018,11,18,177.07
ETH,2018,11,19,149.18
ETH,2018,11,20,130.34
ETH,2018,11,21,136.70
ETH,2018,11,22,126.71
ETH,2018,11,23,123.30
ETH,2018,11,24,113.49
ETH,2018,11,25,116.45
ETH,2018,11,26,108.34
ETH,2018,11,27,110.01
ETH,2018,11,28,122.44
ETH,2018,11,29,117.54
ETH,2018,11,30,113.17
ETH,2018,12,1,118.64
ETH,2018,12,2,116.39
ETH,2018,12,3,108.93
ETH,2018,12,4,110.21
ETH,2018,12,5,102.48
ETH,2018,12,6,91.76
ETH,2018,12,7,93.29
ETH,2018,12,8,92.16
ETH,2018,12,9,95.14
ETH,2018,12,10,91.69
ETH,2018,12,11,88.95
ETH,2018,12,12,90.59
ETH,2018,12,13,86.54
ETH,2018,12,14,84.31
ETH,2018,12,15,84.44
ETH,2018,12,16,85.26
ETH,2018,12,17,95.13
ETH,2018,12,18,101.11
ETH,2018,12,19,101.27
ETH,2018,12,20,116.22
ETH,2018,12,21,109.50
